Topic,Course,Description,Workshop,Dataset,Slides,Webinar
Bioinformatics,What exactly is bioinformatics?,Introduction to bioinformatics experiments," "," ",[:material-presentation:](https://zenodo.org/records/13283096),[:simple-youtube:](https://www.youtube.com/watch?v=wmy2C-S-rMU)
Genomics,Getting started with germline genomics,"Introduction to germline mapping and variant calling"," "," ","[:material-presentation:](https://zenodo.org/records/7024058)","[:simple-youtube:](https://www.youtube.com/watch?v=Q2EceFyizio)"
Transcriptomics,Getting started with RNAseq,Introduction to differential expression analysis with bulk RNAseq data,[:simple-readme:](https://sydney-informatics-hub.github.io/rnaseq-workshop-2023/)," ",[:material-presentation:](https://zenodo.org/records/8323208),[:simple-youtube:](https://www.youtube.com/watch?v=tITR3WR_jWI)
Transcriptomics,Getting started with spatial omics,Introduction to spatial transcriptomics,[:simple-readme:](https://swbioinf.github.io/intro-spatial-transcriptomics-workshop/index.html),[:simple-github:](https://github.com/swbioinf/intro-spatial-transcriptomics-workshop),[:material-presentation:](https://zenodo.org/records/17096784),[:simple-youtube:](https://www.youtube.com/watch?v=fUbXyFFGohg)
Functional enrichment,Making sense of genes with FEA,Introduction to functional enrichment analysis,[:simple-readme:](https://swbioinf.github.io/intro-spatial-transcriptomics-workshop/)," ",[:material-presentation:](https://zenodo.org/records/14032116),[:simple-youtube:](https://www.youtube.com/watch?v=AvpH2WMNXxA)
Structural biology,Protein structure prediction,Introduction to structural prediction with tools like Alphafold,[:simple-readme:](https://australianbiocommons.github.io/2025-ABACBS-workshop/)," ",[:material-presentation:](https://sydney-informatics-hub.github.io/training.alphafold/),[:simple-youtube:](https://www.youtube.com/watch?v=G2mDQ1th0CQ)
Pipelines,Nextflow for the Life Sciences,Introduction to building and runing Nextflow pipelines,[:simple-readme:](https://sydney-informatics-hub.github.io/hello-nextflow-2025/),[:simple-github:](https://github.com/Sydney-Informatics-Hub/nf4ls-materials)," "," "
Pipelines,Nextflow on HPC,Configure and run Nextflow pipelines on HPC,[:simple-readme:](https://sydney-informatics-hub.github.io/nextflow-hpc-workshop/),[:simple-github:](https://github.com/Sydney-Informatics-Hub/nextflow-on-hpc-materials)," "," "
Pipelines,Configuring nf-core,Configure nf-core pipelines for your needs,[:simple-readme:](https://sydney-informatics-hub.github.io/customising-nfcore-workshop/)," "," "," "
HPC,Scaling your workflows to HPC,Foundational concepts of HPC as they relate to bioinformatics," "," ",[:material-presentation:](https://zenodo.org/records/8008227),[:simple-youtube:](https://www.youtube.com/watch?v=YKJDRXCmGMo)
HPC,Introduction to NCI Gadi,Quick start guide for using NCI's Gadi HPC,[:simple-readme:](https://sydney-informatics-hub.github.io/training.gadi.intro/)," "," "," "
HPC,Where to go when your bioinformatics outgrows your compute,Explainer of national computational infrastructure for bioinformatics," "," ",[:material-presentation:](https://zenodo.org/records/5240578),[:simple-youtube:](https://www.youtube.com/watch?v=hNTbngSc-W0&feature=youtu.be)
